Year,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1993,OR,3933,16830,21452,22329,20432,19877,20601,24543,26405,25558,20683,15576,12260,11597,12023,10839,8451,5542,4372
1993,PA,15519,65888,81126,81041,76704,85918,83690,95526,98871,88492,74592,61277,53426,55478,57042,50327,38496,24440,19088
1993,RI,1387,5755,6581,6342,6120,8569,7801,8446,8418,7243,6126,4769,4019,4164,4419,4013,3080,2074,1715
1993,SC,5118,21856,25708,26612,26439,29570,27850,29962,29527,26890,22839,18364,15566,14466,14035,11711,8049,4975,3558
1993,SD,930,4254,5647,6056,5302,4763,4517,5447,5564,4942,3763,3074,2810,2886,2801,2521,2017,1431,1339
1993,TN,6935,28760,34304,36141,35304,38371,38545,42174,41672,38123,32924,27029,22818,21237,19953,16847,12441,8507,6565
1993,TX,30599,119930,142304,144815,132615,137568,145325,164733,152711,129310,105618,81801,67851,62308,58063,47707,34318,23366,18680
1993,UT,3579,14023,17255,19621,18165,15796,14559,14645,14115,12001,9363,7290,6013,5437,5073,4338,3272,2097,1585
1993,VA,8883,37410,44280,43441,41491,50351,53944,59013,56237,50021,43351,33792,26729,24120,22570,18982,13301,8440,6554
1993,VT,701,3234,4266,4193,3734,4438,3857,4592,5117,4724,3869,2894,2307,2204,2075,1757,1353,924,814
1993,WA,7535,31489,38878,38972,34390,35340,39346,47333,47503,42705,35099,26271,20535,18817,18002,16111,12107,7929,6290
1993,WI,6394,28302,37852,38697,34938,35490,36764,42518,42418,37840,30432,24396,20787,20208,19377,16818,13797,9285,8081
1993,WV,2052,8563,10900,12889,13673,13274,10969,12795,14445,14030,11649,9648,8648,8487,8544,7151,5333,3544,2684
1993,WY,595,2635,3700,4183,3723,3033,2640,3767,4295,3851,2950,2280,1850,1727,1574,1271,951,611,480
1994,AK,932,4311,5389,5042,4199,3718,4266,6154,6292,5590,4127,2901,1949,1375,1022,733,410,207,131
1994,AL,5693,23980,29063,31038,31380,32341,29858,32756,33816,30864,27006,22210,19357,17794,16832,14366,10663,7227,5593
1994,AR,3211,13825,17342,18708,18407,17485,16029,18626,18547,17242,15435,13026,11143,10517,10456,9211,7141,4959,3947
1994,AZ,6744,26705,30853,30269,28451,30528,32858,36783,34059,29775,25087,20219,16982,16390,17581,15905,11602,7085,5026
1994,CA,54397,228557,240860,229142,203764,225561,269258,294989,270534,231048,192020,147432,117234,103997,101516,89779,65065,42644,34088
1994,CO,5107,21385,27226,27186,24318,25603,28025,34969,35468,31833,25764,18616,14399,12556,11413,9663,6903,4513,3837
1994,CT,4439,19167,23357,21045,19522,20951,24346,28939,28813,25255,22710,18347,14278,13323,13105,11996,9536,6298,5291
1994,DC,786,3452,3344,2887,3102,5685,6349,5701,4837,4196,3541,2889,2396,2159,2218,1973,1456,1004,818
1994,DE,992,4220,5093,4945,4580,5195,5646,6198,6091,5197,4533,3696,3074,2994,2912,2488,1712,1034,830
1994,FL,18252,77279,92921,89707,82689,87104,97072,118087,112032,98012,85373,71132,62511,64731,75616,70766,53691,34680,26081
1994,GA,10273,43231,52278,52168,50058,54193,57890,65475,61238,54001,47015,36162,28153,24173,22108,18587,13701,8999,6789
1994,HI,1810,7592,8272,8377,7735,8259,9446,10510,10181,9308,7767,5881,4635,4606,4653,3948,2752,1631,1263
1994,IA,3475,14854,19549,21322,20513,19793,18402,20860,22524,21091,17404,14094,12460,11694,11715,10588,8816,6183,5835
1994,ID,1642,6969,8939,10157,9765,7899,6671,8421,9178,8608,7055,5557,4540,3978,3766,3338,2645,1786,1333
